timestamp_utc,sample_index,race_time_seconds,player_throttle,player_steer,vehicle_applied_handbrake,vehicle_applied_steer,planar_speed_magnitude,roll_degrees,yaw_rate,web_slip_lat_avg,web_slip_long_avg,web_steer_raw,web_steer_state
2026-04-27T19:18:41.078Z,84,8.399999999999997,1,0,0,0,29.032372684604862,-0.012891868151705848,0.003462364440966864,0.01473998282435769,0.05280932319410457,0,0
2026-04-27T19:18:41.080Z,85,8.500000000000002,1,0,0,0,29.346194530941986,-0.012977420008243798,0.003912966462062767,0.01425918474842656,0.052235119033818674,0,0
2026-04-27T19:18:41.081Z,86,8.600000000000007,1,0,0,0,29.6476624382958,-0.012825151965400008,0.003572549550878534,0.014023161075799843,0.051712983796279054,0,0
2026-04-27T19:18:41.082Z,87,8.700000000000012,1,0,0,0,29.939206648143085,-0.012696702713241763,0.002431794695745161,0.01386646323033935,0.05120003707555022,0,0
2026-04-27T19:18:41.083Z,88,8.800000000000017,1,0,0,0,30.225791210642868,-0.012717001361951584,0.0008126512840655615,0.013745072160733748,0.050678245440584066,0,0
2026-04-27T19:18:41.084Z,89,8.900000000000022,1,0,0,0,30.509738308509768,-0.012766232029869179,-0.0007317752506840938,0.013781274340344218,0.05017072924273569,0,0
2026-04-27T19:18:41.085Z,90,9.000000000000027,1,0,0,0,30.791477950335295,-0.012813798348293336,-0.0007986983761076474,0.013946500552919601,0.04971181322900837,0,0
2026-04-27T19:18:41.086Z,91,9.100000000000032,1,0,0,0,31.07116460005982,-0.012882175568953822,-0.000045572295062077334,0.014065954861995293,0.04928208969576482,0,0
2026-04-27T19:18:41.087Z,92,9.200000000000037,1,0,0,0,31.349048809599527,-0.012992226655630145,0.0021125094640871483,0.014026664448935128,0.04891534750925096,0,0
2026-04-27T19:18:41.088Z,93,9.300000000000042,1,0,0,0,31.625307652399016,-0.013188539660849851,0.007829119513127092,0.013621470847964065,0.048661558675813614,0,0
2026-04-27T19:18:41.088Z,94,9.400000000000047,1,0,0,0,31.899612533890778,-0.013715085606828162,0.02441209807110368,0.012295240819037425,0.048793468316299826,0,0
2026-04-27T19:18:41.089Z,95,9.500000000000052,1,0,0,0,32.170904579750655,-0.01540659789511604,0.0784905462344737,0.007876550783580892,0.050070515124335094,0,0
2026-04-27T19:18:41.090Z,96,9.600000000000056,1,0,0,0,32.43471217573502,-0.02072748482569388,0.2478527111753569,0.006301697027925706,0.05494743658251296,0,0
2026-04-27T19:18:41.091Z,97,9.700000000000061,1,0,0,0,32.66529331419635,-0.0029255017274754077,0.40909460447993334,0.011755252065099336,0.05335123739204173,0,0
