timestamp_utc,sample_index,race_time_seconds,player_throttle,player_steer,vehicle_applied_handbrake,vehicle_applied_steer,position_x,position_y,position_z,forward_x,forward_y,forward_z,right_x,right_y,right_z,velocity_x,velocity_y,velocity_z,planar_speed_magnitude,roll_degrees,yaw_rate,web_slip_lat_avg,web_slip_long_avg,web_slip_angle_deg,web_steer_raw,web_steer_state,web_wheel_0_forward_impulse,web_wheel_0_suspension_force,web_wheel_0_angular_velocity,web_wheel_1_forward_impulse,web_wheel_1_suspension_force,web_wheel_1_angular_velocity,web_wheel_2_forward_impulse,web_wheel_2_suspension_force,web_wheel_2_angular_velocity,web_wheel_3_forward_impulse,web_wheel_3_suspension_force,web_wheel_3_angular_velocity
2026-04-27T20:56:48.082Z,154,15.400000000000345,0,0,0,-0.2189787002422406,-155.29648421205627,0.025438885068253703,57.71098473859078,0.8328252183597147,-0.019059107815113368,0.5532078326211456,-0.5533177043353694,-0.0005961730910870486,0.8329700850851021,11.569872940226837,0.00014373922668452894,7.6432409909950145,13.744999606922324,-0.03416440967024079,-0.8922205345822853,0.008289034750812148,0.05986887806720412,0.47492837090008305,0,-0.2189787002422406,0,4448.21484375,-43.76953125,0,4436.26904296875,-49.25537109375,0,3999.4150390625,-43.76220703125,0,3987.93994140625,-49.25537109375
2026-04-27T20:56:48.082Z,155,15.50000000000035,0,0,0,-0.18045295816994927,-154.197062785752,0.025504729469408016,58.54665495555225,0.7872833481512297,-0.019076356824886287,0.6162962131427384,-0.6164181468379457,-0.0006589185822708692,0.7874187158527378,10.994214263042203,0.0006584440115431028,8.356702169614262,13.703468064191798,-0.03776012775971411,-0.7784257717944832,0.007723456895253546,0.06638375017848303,0.44252223421031583,0,-0.18045295816994927,0,4446.85595703125,-43.2275390625,0,4436.14990234375,-49.2919921875,0,3996.998291015625,-43.2275390625,0,3986.943603515625,-49.2919921875
2026-04-27T20:56:48.083Z,156,15.600000000000355,0,0,0,-0.1487498468141106,-153.15419814402364,0.025559963135049768,59.44344720162883,0.7434296376560131,-0.019111725251860886,0.6685410352495549,-0.6686724758136682,-0.0006655879514319527,0.7435567746190591,10.428646417283055,0.0005523366564174906,8.967922460765346,13.662885646110466,-0.03814234986476783,-0.6823615349505923,0.019782762363266655,0.07189998210052224,1.133532643007838,0,-0.1487498468141106,0,4446.69384765625,-42.744140625,0,4435.728515625,-49.2919921875,0,3995.41796875,-42.744140625,0,3985.144287109375,-49.2919921875
2026-04-27T20:56:48.084Z,157,15.70000000000036,0,0,0,-0.122650976682374,-152.16519115479463,0.025562676969345943,60.39187362539214,0.7015941926797485,-0.01908332265723548,0.7123211463900336,-0.7124589387922567,-0.0006111819620165026,0.7017135362750392,9.890069892289622,0.000027138342961750867,9.484264237632612,13.623247396754673,-0.035024527196869853,-0.6057526172656823,0.02928944187077124,0.07632114713566915,1.6783839258709934,0,-0.122650976682374,0,4446.015625,-42.32666015625,0,4433.45068359375,-49.25537109375,0,3997.99560546875,-42.32666015625,0,3985.985595703125,-49.25537109375
2026-04-27T20:56:48.085Z,158,15.800000000000365,0,0,0,-0.10115814269718405,-151.2276442543871,0.025528443834650305,61.38458969832799,0.6616354590423226,-0.019057312922815102,0.7495834430949078,-0.7497263279845218,-0.0005423364078442452,0.6617477910790983,9.375469004074931,-0.00034233134695636454,9.927160729358068,13.584292517497575,-0.031079232978290027,-0.5465353264215661,0.03674170069455022,0.0798768460988743,2.1055935023672396,0,-0.10115814269718405,0,4446.47900390625,-41.9677734375,0,4432.0966796875,-49.19677734375,0,4000.95703125,-41.9677734375,0,3986.9345703125,-49.19677734375
2026-04-27T20:56:48.087Z,159,15.90000000000037,0,0,0,-0.08345240091672453,-150.33953870829814,0.02549191424338698,62.415600959065614,0.6234772581653435,-0.019075795346198778,0.7816087400883742,-0.7817568424227739,-0.0005003661308811111,0.6235831852759578,8.88105546088907,-0.0003652959126332163,10.310112607375698,13.546502037801835,-0.028674086231002767,-0.4983055494039731,0.042864653004199234,0.08287912584575285,2.456686316151408,0,-0.08345240091672453,0,4448.1201171875,-41.65283203125,0,4432.6669921875,-49.130859375,0,4001.7646484375,-41.65283203125,0,3986.53564453125,-49.12353515625
2026-04-27T20:56:48.089Z,160,16.000000000000373,1,0,0,-0.06886186392835734,-149.4986666863001,0.02547346426161784,63.47991260487688,0.5869761457652465,-0.01909602261088836,0.8093789880043962,-0.8095320350583187,-0.000493350713200687,0.5870754983981287,8.40872021997997,-0.0001844998176914133,10.643116458112317,13.509756170822303,-0.02827207012267779,-0.45876502833052313,0.04792488504060615,0.08532185527486469,2.7469119872660737,0,-0.06886186392835734,-0.6184790730476379,4448.86279296875,-41.37451171875,-0.6184790730476379,4433.2333984375,-49.05029296875,0,4001.773193359375,-41.37451171875,0,3986.330078125,-49.05029296875
2026-04-27T20:56:48.091Z,161,16.100000000000367,1,0,0,-0.056831476866824965,-148.70242311530313,0.025481453129084286,64.5749848193351,0.5519090115067459,-0.019122198435150426,0.833685063165134,-0.8338428022379131,-0.0005099381293085964,0.5520017401413956,7.962435709970235,0.0000798886746644679,10.950722144582823,13.501288051118408,-0.029222647131663764,-0.42678222254300496,0.0520015027014798,0.0871039500366136,2.980775376461318,0,-0.056831476866824965,-6.9582743644714355,4449.05322265625,-41.2646484375,-6.9582743644714355,4433.810546875,-49.09423828125,0,4000.77294921875,-41.2646484375,0,3985.750732421875,-49.09423828125
2026-04-27T20:56:48.092Z,162,16.20000000000036,1,0,0,-0.046889853518543266,-147.94402235001243,0.02551557897482376,65.70664879794565,0.5178458312381315,-0.019285275551037685,0.8552565540328874,-0.8554210779299883,-0.0005573412341187891,0.5179328805973277,7.58400765290745,0.00034125845739476355,11.316639786106112,13.633181968251094,-0.03193924212088428,-0.40329265164544675,0.05474605464900685,0.0874040766915206,3.1382587453249053,0,-0.046889853518543266,-29.789791107177734,4453.205078125,-41.77734375,-29.789791107177734,4438.986328125,-49.70947265625,0,3993.873779296875,-41.77734375,0,3979.976318359375,-49.70947265625
2026-04-27T20:56:48.093Z,163,16.300000000000356,1,0,0,-0.03862301554189948,-147.20999974883608,0.025546714221185096,66.89828335626027,0.4840852089291241,-0.01970298756013374,0.8747990070737688,-0.8749749708783342,-0.0006606307050057923,0.48416770225153405,7.340226011763908,0.00031135246361337456,11.916345583146859,14.097338122719979,-0.03785870320164624,-0.39018697181231077,0.055597545825586854,0.08492133914934095,3.187149800883919,0,-0.03862301554189948,-49.838157653808594,4465.4921875,-43.41796875,-49.838157653808594,4453.4765625,-51.38671875,0,3976.915771484375,-43.41796875,0,3965.46484375,-51.39404296875
