timestamp_utc,sample_index,race_time_seconds,game_state,is_racing,is_paused,level_id,level_name,car_id,car_name,player_steer,player_throttle,player_brake,position_x,position_y,position_z,forward_x,forward_y,forward_z,right_x,right_y,right_z,up_x,up_y,up_z,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,vehicle_applied_throttle,vehicle_applied_brake,vehicle_applied_handbrake,vehicle_control_candidate_1dfc,vehicle_applied_steer,vehicle_frame_delta_ms,vehicle_frame_delta_seconds,speed_magnitude,planar_speed_magnitude,yaw_radians,yaw_degrees,pitch_radians,pitch_degrees,roll_radians,roll_degrees,yaw_rate,quat_x,quat_y,quat_z,quat_w,camera_position_x,camera_position_y,camera_position_z,camera_forward_x,camera_forward_y,camera_forward_z,camera_fov,camera_mode_index,camera_family,wheel_0_contact_flag,wheel_0_contact_ptr,wheel_0_contact_surface_44_candidate,wheel_0_contact_surface_48_candidate,wheel_0_contact_surface_4c_candidate,wheel_0_contact_surface_50_candidate,wheel_0_suspension_length_candidate,wheel_0_tire_force_multiplier_candidate,wheel_0_load_or_spin_candidate,wheel_0_rotation_or_phase_candidate,wheel_0_vertical_load_candidate,wheel_1_contact_flag,wheel_1_contact_ptr,wheel_1_contact_surface_44_candidate,wheel_1_contact_surface_48_candidate,wheel_1_contact_surface_4c_candidate,wheel_1_contact_surface_50_candidate,wheel_1_suspension_length_candidate,wheel_1_tire_force_multiplier_candidate,wheel_1_load_or_spin_candidate,wheel_1_rotation_or_phase_candidate,wheel_1_vertical_load_candidate,wheel_2_contact_flag,wheel_2_contact_ptr,wheel_2_contact_surface_44_candidate,wheel_2_contact_surface_48_candidate,wheel_2_contact_surface_4c_candidate,wheel_2_contact_surface_50_candidate,wheel_2_suspension_length_candidate,wheel_2_tire_force_multiplier_candidate,wheel_2_load_or_spin_candidate,wheel_2_rotation_or_phase_candidate,wheel_2_vertical_load_candidate,wheel_3_contact_flag,wheel_3_contact_ptr,wheel_3_contact_surface_44_candidate,wheel_3_contact_surface_48_candidate,wheel_3_contact_surface_4c_candidate,wheel_3_contact_surface_50_candidate,wheel_3_suspension_length_candidate,wheel_3_tire_force_multiplier_candidate,wheel_3_load_or_spin_candidate,wheel_3_rotation_or_phase_candidate,wheel_3_vertical_load_candidate,web_gear,web_engine_rpm,web_clutch,web_slip_long_avg,web_slip_lat_avg,web_slip_angle_deg,web_surface_type,web_surface_grip,web_wheel_contacts,web_forward_impulse,web_suspension_force,web_camera_fov_degrees,web_sim_steps,web_sim_backlog_ms
2026-04-26T20:45:17.677Z,0,0.003,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,-0.000008833154424792156,0.47996285557746887,0.00547017902135849,-0.000006592061318666615,-0.000002702000199042156,0.999999999974622,-0.9999999999780125,7.209926408092253e-7,-0.000006592059370566707,7.209748290451971e-7,0.9999999999960897,0.0000027020049518104458,0.00020606769248843193,0.00036310547147877514,0.000688743544742465,0.0007460970664396882,-5.734744970564698e-11,-0.0008098466787487268,0,0,0,0,2.7342329238615985e-10,16,0.016,0.0008054049588435288,0.0007189099834554552,-0.000006592061318738422,-0.0003776972918551553,0.000002702000199045444,0.0001548132076488123,7.209926408119197e-7,0.00004130983537851471,-5.734744970564698e-11,3.604918674659162e-7,0.9999999999935907,0.00000135100128772181,0.000003296030172329458,0.045335854110377244,1.616487051857257,-3.2521408982555102,-0.01349467754343135,-0.24819097085195402,0.96861712542447,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,2457.64697265625,0,0.00514531135559082,0.9997154704236579,0.0439453125,1.6863091918302544,2457.64697265625,1,tarmac,1.6,0,2458.5244140625,0,0.005145728588104248,0.9997154704236579,0.0439453125,5.923000873337358,2458.5244140625,1,tarmac,1.6,0,2679.728759765625,0,0.009925395250320435,0.9997773246793844,0.0439453125,1.9155572387052544,2679.728759765625,1,tarmac,1.6,0,2680.615966796875,0,0.009925752878189087,0.9997773246793844,0.0439453125,5.711086810837358,2680.615966796875,0,1000.0000000000006,0.25,0.0019169784593030016,0.0008131590128821751,0.04659056924218479,tarmac,1.6,4,0,10276.51611328125,100,1,10.333333333340306
2026-04-26T20:45:17.693Z,1,0.02,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,-0.000010412205483589787,0.4804454445838928,0.005518302321434021,-0.000006649741664227022,-0.0002741098518226768,0.9999999624097844,-0.9999999999778557,2.658129568046939e-7,-0.000006649669052092059,2.639902070141886e-7,0.9999999624318585,0.0002741098535841942,-0.0004063691303599626,-0.06949250400066376,-0.014161711558699608,-0.03776370361447334,0,0.0013250949559733272,0,0,0,0,2.653424128642766e-10,17,0.017,0.07092198053089173,0.01416754072314301,-0.0000066497419140942395,-0.00038100214652884556,0.0002741098552552729,0.015705337829069025,2.658129667907868e-7,0.000015229961136963195,0,1.3245079219943524e-7,0.9999999906024372,0.00013705492763970003,0.0000033248527103252813,0.04250967038158927,1.6166075041745158,-3.252204046807107,-0.012652510204555467,-0.24804908174270737,0.9686648373055169,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,2446.7021484375,0,0.004959404468536377,0.999536232000113,0,1.6863091918302544,2446.7021484375,1,tarmac,1.6,0,2446.089111328125,0,0.004960447549819946,0.999536232000113,0,5.923000873337358,2446.089111328125,1,tarmac,1.6,0,2639.527099609375,0,0.009122580289840698,0.9996370511305233,0,1.9155572387052544,2639.527099609375,1,tarmac,1.6,0,2638.688720703125,0,0.009123623371124268,0.9996370511305233,0,5.711086810837358,2638.688720703125,0,1000.0000000000006,0.25,0.0013774824104061303,0.0004121439418517326,0.023614107082938117,tarmac,1.6,4,0,10171.007080078125,100,1,10.666666666673642
2026-04-26T20:45:17.710Z,2,0.037,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,-0.000009601273632142693,0.47996288537979126,0.005360119044780731,-0.000006499889500986951,-0.0000027235356891759394,0.999999999975167,-0.9999999999786129,7.251125972732162e-7,-0.0000064998875261393124,7.25094894579556e-7,0.9999999999960283,0.0000027235404022694476,0.00020721167675219476,0.00036594970151782036,0.0006917546852491796,0.0007518035708926618,-5.734744970564698e-11,-0.0008130217320285738,0,0,0,0,2.5750035942512146e-10,17,0.017,0.0008095556852914007,0.0007221227205583879,-0.000006499889501056826,-0.0003724162357119506,0.0000027235356891793063,0.00015604710034322825,7.251125972759691e-7,0.00004154589149568238,-5.734744970564698e-11,3.625518729654677e-7,0.9999999999937259,0.0000013617690228698902,0.000003249944256801955,0.039856291665597704,1.6152199057989525,-3.252706113641247,-0.01186185529004079,-0.24774465964772133,0.9687527445148805,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,2457.64697265625,0,0.005145370960235596,0.9997168371230892,0.0439453125,1.6870416137052544,2457.64697265625,1,tarmac,1.6,0,2458.524169921875,0,0.005145758390426636,0.9997168371230892,0.0439453125,5.923733295212358,2458.524169921875,1,tarmac,1.6,0,2679.731201171875,0,0.009925395250320435,0.9997783942702437,0.0439453125,1.9162896605802544,2679.731201171875,1,tarmac,1.6,0,2680.617919921875,0,0.009925752878189087,0.9997783942702437,0.0439453125,5.711819232712358,2680.617919921875,0,1000.0000000000006,0.25,0.001918131988267343,0.0008128896580761523,0.046575136358809395,tarmac,1.6,4,0,10276.520263671875,100,1,11.000000000006976
2026-04-26T20:45:17.727Z,3,0.053,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,-0.000011181200534338132,0.48044559359550476,0.0054083094000816345,-0.000006557550932995528,-0.000274189101556363,0.999999962388667,-0.999999999978464,2.6716499397858714e-7,-0.000006557477925760124,2.653669949492157e-7,0.9999999624101319,0.0002741891033024061,-0.0004066420078743249,-0.06948762387037277,-0.0141606405377388,-0.03776106238365173,-1.4336862426411745e-11,0.001326455269008875,0,0,0,0,2.4989007369124463e-10,17,0.017,0.07091698646524695,0.014166477973075011,-0.000006557551179539775,-0.00037572000652866385,0.00027418910499193717,0.01570987850450741,2.6716500402127806e-7,0.0000153074271640149,-1.4336862426411745e-11,1.331329984837793e-7,0.9999999905971578,0.00013709455250377072,0.0000032787572455185503,0.037371510940889856,1.615318779357883,-3.252766828854171,-0.011121489227639765,-0.24759512856774113,0.9687997547413414,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,2446.70458984375,0,0.004959404468536377,0.9995361736414236,0,1.6870416137052544,2446.70458984375,1,tarmac,1.6,0,2446.089599609375,0,0.004960447549819946,0.9995361736414236,0,5.923733295212358,2446.089599609375,1,tarmac,1.6,0,2639.520751953125,0,0.009122639894485474,0.9996370054585053,0,1.9162896605802544,2639.520751953125,1,tarmac,1.6,0,2638.679443359375,0,0.009123653173446655,0.9996370054585053,0,5.711819232712358,2638.679443359375,0,1000.0000000000006,0.25,0.001383504683403853,0.00041443181544134877,0.023745192561292212,tarmac,1.6,4,0,10170.994384765625,100,1,11.333333333340311
2026-04-26T20:45:17.744Z,4,0.07,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,-0.00001036774119711481,0.47996288537979126,0.005250096321105957,-0.000006407421189169825,-0.000002719115085737148,0.9999999999757758,-0.9999999999792011,7.369631731545697e-7,-0.00000640741918530409,7.369457506265503e-7,0.9999999999960316,0.000002719119807714046,0.00020531263726297766,0.0003643346717581153,0.0006890168297104537,0.0007484604138880968,0,-0.000809072982519865,0,0,0,0,2.4250470589177593e-10,16,0.016,0.0008060007591120601,0.0007189558196747025,-0.000006407421189237354,-0.0003671181917059952,0.0000027191150857404986,0.00015579381842328353,7.369631731573609e-7,0.00004222487947848566,0,3.6847723094753657e-7,0.9999999999938762,0.0000013595587233711247,0.0000032037100936381,0.035172060766642047,1.613951002016079,-3.2532533117735443,-0.01046606048247778,-0.24729775080199856,0.9688830084309714,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,2457.644287109375,0,0.005145430564880371,0.9997154577637735,0.0439453125,1.6877740355802544,2457.644287109375,1,tarmac,1.6,0,2458.52294921875,0,0.0051457881927490234,0.9997154577637735,0.0439453125,5.924465717087358,2458.52294921875,1,tarmac,1.6,0,2679.72265625,0,0.009925603866577148,0.9997773147716489,0.0439453125,1.9170220824552544,2679.72265625,1,tarmac,1.6,0,2680.610107421875,0,0.009925991296768188,0.9997773147716489,0.0439453125,5.712551654587358,2680.610107421875,0,1000.0000000000006,0.25,0.0019159816788084996,0.0008134326025853908,0.04660624476712871,tarmac,1.6,4,0,10276.5,100,1,10.666666666673645
2026-04-26T20:45:17.760Z,5,0.086,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,-0.000011951352462347131,0.4804455041885376,0.005298219621181488,-0.00000646574570563074,-0.0002741593574430173,0.9999999623974197,-0.9999999999790607,2.71049894379726e-7,-0.000006465671637756412,2.692772598059059e-7,0.9999999624182859,0.0002741593591898164,-0.0004063666856382042,-0.06949059665203094,-0.014161305502057076,-0.037762612104415894,-1.4336862426411745e-11,0.0013250675983726978,0,0,0,0,2.3533760869716855e-10,16,0.016,0.07092003053059864,0.014167134763451238,-0.0000064657459486693695,-0.00037045995426256546,0.0002741593608774735,0.01570817429228329,2.710499045662394e-7,0.00001553001556906926,-1.4336862426411745e-11,1.3508178981626518e-7,0.9999999905993459,0.0001370796804468471,0.0000032328543662377353,0.03310426161941955,1.61407281651464,-3.25329910299744,-0.009850012824082292,-0.2471563355073775,0.9689255508375916,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,2446.70263671875,0,0.004959404468536377,0.9995362705486037,0,1.6877740355802544,2446.70263671875,1,tarmac,1.6,0,2446.090087890625,0,0.004960447549819946,0.9995362705486037,0,5.924465717087358,2446.090087890625,1,tarmac,1.6,0,2639.522705078125,0,0.009122639894485474,0.9996370812989073,0,1.9170220824552544,2639.522705078125,1,tarmac,1.6,0,2638.6845703125,0,0.00912371277809143,0.9996370812989073,0,5.712551654587358,2638.6845703125,0,1000.0000000000006,0.25,0.0013780290470026366,0.0004106335671542505,0.02352756900193483,tarmac,1.6,4,0,10171,100,1,10.00000000000698
2026-04-26T20:45:17.777Z,6,0.103,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,-0.000011129884114779998,0.47996294498443604,0.005140043795108795,-0.000006315901510673195,-0.0000027545564634662806,0.999999999976261,-0.9999999999797661,7.600497741600617e-7,-0.000006315899417095316,7.600323766404566e-7,0.9999999999959174,0.0000027545612638100613,0.0002056793455267325,0.0003655161999631673,0.0006900325533933938,0.0007508110720664263,0,-0.0008100311388261616,0,0,0,0,2.2838233123615376e-10,18,0.018,0.0008074967556308977,0.0007200339699756616,-0.000006315901510739147,-0.0003618745003856537,0.000002754556463469764,0.0001578244597872994,7.600497741630183e-7,0.000043547644279412313,0,3.8002053770241226e-7,0.999999999993993,0.0000013772794318273587,0.000003157950231961097,0.030921033489824255,1.6126116491205909,-3.2538101618679587,-0.009199368166586128,-0.2468260169875228,0.9690161448414629,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,2457.646484375,0,0.005145370960235596,0.9997172117305473,0.0439453125,1.6885064574552544,2457.646484375,1,tarmac,1.6,0,2458.52392578125,0,0.005145758390426636,0.9997172117305473,0.0439453125,5.925198138962358,2458.52392578125,1,tarmac,1.6,0,2679.727783203125,0,0.009925484657287598,0.9997786874412979,0.0439453125,1.9177545043302544,2679.727783203125,1,tarmac,1.6,0,2680.614501953125,0,0.00992584228515625,0.9997786874412979,0.0439453125,5.713284076462358,2680.614501953125,0,1000.0000000000006,0.25,0.0019173141895306896,0.0008128788251243011,0.04657451567679879,tarmac,1.6,4,0,10276.5126953125,100,1,11.333333333340311
2026-04-26T20:45:17.793Z,7,0.12,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,-0.000012712697753158864,0.48044562339782715,0.0051882266998291016,-0.000006374170379050294,-0.0002741992587232522,0.9999999623870677,-0.9999999999796416,2.966163238337338e-7,-0.000006374089286692595,2.9486854211967707e-7,0.9999999624073386,0.0002741992606083529,-0.00040635745972394943,-0.06948862224817276,-0.014160964637994766,-0.03776170313358307,0,0.0013250337215140462,0,0,0,0,2.2163261328952135e-10,16,0.016,0.0709180278054379,0.014166793775008216,-0.000006374170618715215,-0.0003652130743486745,0.00027419926215920817,0.01571046046732385,2.966163349843226e-7,0.000016994864129240315,0,1.4787121787882186e-7,0.9999999905967559,0.00013709963112208258,0.000003187064946404472,0.029102934264328893,1.6127212143287535,-3.25385441590747,-0.008657778652789256,-0.24668026968169962,0.9690582476913157,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,2446.703125,0,0.004959404468536377,0.999536273720414,0,1.6885064574552544,2446.703125,1,tarmac,1.6,0,2446.090087890625,0,0.004960477352142334,0.999536273720414,0,5.925198138962358,2446.090087890625,1,tarmac,1.6,0,2639.51904296875,0,0.009122699499130249,0.9996370837811935,0,1.9177545043302544,2639.51904296875,1,tarmac,1.6,0,2638.67919921875,0,0.009123802185058594,0.9996370837811935,0,5.713284076462358,2638.67919921875,0,1000.0000000000006,0.25,0.0013800604949830257,0.00041136685177653465,0.023569583108876482,tarmac,1.6,4,0,10170.991455078125,100,1,10.666666666673645
2026-04-26T20:45:17.811Z,8,0.136,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,-0.000011908693522855174,0.4799630045890808,0.005030028522014618,-0.00000622430991709189,-0.0000027519067287525033,0.9999999999768426,-0.9999999999803506,7.461389183030154e-7,-0.000006224307863809015,7.461217895710447e-7,0.9999999999959351,0.0000027519113728982996,0.00020437534840311855,0.0003651725419331342,0.0006886672344990075,0.0007497615879401565,-5.734744970564698e-11,-0.0008075417135842144,0,0,0,0,2.1508237965549972e-10,17,0.017,0.0008058429302843785,0.0007183535639971497,-0.0000062243099171556475,-0.0003566266886344417,0.0000027519067287559766,0.00015767264117137007,7.461389183059098e-7,0.000042750610949385154,-5.734744970564698e-11,3.7306517697070083e-7,0.9999999999941411,0.0000013759545254207625,0.000003112154445243461,0.02728687102358975,1.6112890537009088,-3.254350430027781,-0.008116529059431275,-0.24636019748324103,0.9691443520198868,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,2457.64501953125,0,0.005145430564880371,0.9997167576322958,0.0439453125,1.6892388793302544,2457.64501953125,1,tarmac,1.6,0,2458.521728515625,0,0.005145847797393799,0.9997167576322958,0.0439453125,5.925930560837358,2458.521728515625,1,tarmac,1.6,0,2679.72412109375,0,0.009925603866577148,0.9997783320600576,0.0439453125,1.9184869262052544,2679.72412109375,1,tarmac,1.6,0,2680.609130859375,0,0.009926050901412964,0.9997783320600576,0.0439453125,5.714016498337358,2680.609130859375,0,1000.0000000000006,0.25,0.0019166280729150595,0.0008128542230179707,0.04657310608087032,tarmac,1.6,4,0,10276.5,100,1,11.00000000000698
2026-04-26T20:45:17.827Z,9,0.154,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,-0.000013505709830496926,0.48044562339782715,0.005078151822090149,-0.000006283149761979392,-0.00027421826367729203,0.9999999623824323,-0.9999999999802297,2.519494786124284e-7,-0.000006283080909060835,2.5022653359727534e-7,0.9999999624021395,0.00027421826525490697,-0.0004064512613695115,-0.0694897398352623,-0.01416107825934887,-0.03776204586029053,-1.4336862426411745e-11,0.0013254305813461542,0,0,0,0,2.0872573468166423e-10,16,0.016,0.07091914609234738,0.01416691004048773,-0.00000628314999825353,-0.0003599979769475578,0.0002742182671139625,0.01571154937102111,2.5194948808518475e-7,0.000014435642317762707,-1.4336862426411745e-11,1.2554400423309197e-7,0.9999999905956002,0.00013710913352247889,0.000003141557697304522,0.025682155394757215,1.6113904003937478,-3.2543932254065577,-0.00763857880815788,-0.24621157892306753,0.9691860040869358,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,2446.700439453125,0,0.00495949387550354,0.9995363621978206,0,1.6892388793302544,2446.700439453125,1,tarmac,1.6,0,2446.08935546875,0,0.004960566759109497,0.9995363621978206,0,5.925930560837358,2446.08935546875,1,tarmac,1.6,0,2639.51806640625,0,0.009122759103775024,0.9996371530243814,0,1.9184869262052544,2639.51806640625,1,tarmac,1.6,0,2638.6806640625,0,0.00912386178970337,0.9996371530243814,0,5.714016498337358,2638.6806640625,0,1000.0000000000006,0.25,0.001377329914933553,0.000408758724813081,0.023420148466564056,tarmac,1.6,4,0,10170.988525390625,100,1,10.333333333340313
