timestamp_utc,sample_index,race_time_seconds,game_state,is_racing,is_paused,level_id,level_name,car_id,car_name,player_steer,player_throttle,player_brake,position_x,position_y,position_z,forward_x,forward_y,forward_z,right_x,right_y,right_z,up_x,up_y,up_z,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,vehicle_applied_throttle,vehicle_applied_brake,vehicle_applied_handbrake,vehicle_control_candidate_1dfc,vehicle_applied_steer,vehicle_frame_delta_ms,vehicle_frame_delta_seconds,speed_magnitude,planar_speed_magnitude,yaw_radians,yaw_degrees,pitch_radians,pitch_degrees,roll_radians,roll_degrees,yaw_rate,quat_x,quat_y,quat_z,quat_w,camera_position_x,camera_position_y,camera_position_z,camera_forward_x,camera_forward_y,camera_forward_z,camera_fov,camera_mode_index,camera_family,wheel_0_contact_flag,wheel_0_contact_ptr,wheel_0_contact_surface_44_candidate,wheel_0_contact_surface_48_candidate,wheel_0_contact_surface_4c_candidate,wheel_0_contact_surface_50_candidate,wheel_0_suspension_length_candidate,wheel_0_tire_force_multiplier_candidate,wheel_0_load_or_spin_candidate,wheel_0_rotation_or_phase_candidate,wheel_0_vertical_load_candidate,wheel_1_contact_flag,wheel_1_contact_ptr,wheel_1_contact_surface_44_candidate,wheel_1_contact_surface_48_candidate,wheel_1_contact_surface_4c_candidate,wheel_1_contact_surface_50_candidate,wheel_1_suspension_length_candidate,wheel_1_tire_force_multiplier_candidate,wheel_1_load_or_spin_candidate,wheel_1_rotation_or_phase_candidate,wheel_1_vertical_load_candidate,wheel_2_contact_flag,wheel_2_contact_ptr,wheel_2_contact_surface_44_candidate,wheel_2_contact_surface_48_candidate,wheel_2_contact_surface_4c_candidate,wheel_2_contact_surface_50_candidate,wheel_2_suspension_length_candidate,wheel_2_tire_force_multiplier_candidate,wheel_2_load_or_spin_candidate,wheel_2_rotation_or_phase_candidate,wheel_2_vertical_load_candidate,wheel_3_contact_flag,wheel_3_contact_ptr,wheel_3_contact_surface_44_candidate,wheel_3_contact_surface_48_candidate,wheel_3_contact_surface_4c_candidate,wheel_3_contact_surface_50_candidate,wheel_3_suspension_length_candidate,wheel_3_tire_force_multiplier_candidate,wheel_3_load_or_spin_candidate,wheel_3_rotation_or_phase_candidate,wheel_3_vertical_load_candidate,web_gear,web_engine_rpm,web_clutch,web_steer_state,web_steer_raw,web_steer_limit,web_steer_target,web_steer_speed_kph,web_speed_forward,web_speed_right,web_front_grip_scale,web_rear_grip_scale,web_inertia_roll_torque,web_inertia_pitch_torque,web_aero_drag_force,web_rolling_resistance_drag,web_brake_distance_scale,web_slip_long_avg,web_slip_lat_avg,web_slip_angle_deg,web_surface_type,web_surface_grip,web_wheel_contacts,web_forward_impulse,web_suspension_force,web_camera_fov_degrees,web_sim_steps,web_sim_backlog_ms,web_wheel_0_forward_impulse,web_wheel_0_suspension_force,web_wheel_0_angular_velocity,web_wheel_1_forward_impulse,web_wheel_1_suspension_force,web_wheel_1_angular_velocity,web_wheel_2_forward_impulse,web_wheel_2_suspension_force,web_wheel_2_angular_velocity,web_wheel_3_forward_impulse,web_wheel_3_suspension_force,web_wheel_3_angular_velocity,web_input_throttle_raw,web_input_brake_raw,web_input_steer_raw,web_input_handbrake_raw,web_input_reset_raw,web_input_version_raw
2026-04-28T08:47:12.208Z,0,0.013,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,0.0008504936122335494,0.49386897683143616,0.09419421851634979,-0.00019105456887242304,-0.04563657047874815,0.9989580906790285,-0.9999999773196486,-0.00008530434881838387,-0.00019515089199960244,-0.000094121486858961,0.9989581053067773,0.04563655314590909,-0.0000010896011417571572,-0.14120645821094513,0.01585174910724163,0.0012575773289427161,-7.79136399842173e-9,0.00005794859316665679,0,0,0,0,-1.874120776741754e-224,17,0.017,0.14209342627801458,0.015851749144689568,-0.00019125383569704074,-0.01095803760112892,0.0456524265318504,2.61569136480609,-0.00008539331945741624,-0.004892676803522324,-7.79136399842173e-9,-0.00004486814762233027,0.9997394877298603,0.022824226897327514,0.00009657652458766887,0.0015167505473173766,2.14182047153679,-3.882823132934463,-0.00014288420701641906,-0.3196385179923384,0.9475395492536263,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,4803.08984375,0,-0.030457615852355957,0.9996404217375213,-0.05401611328125,5.381937058566464,4803.08984375,1,tarmac,1.6,0,4805.15478515625,0,-0.030577778816223145,0.9996404217375213,-0.05401611328125,4.775273004956887,4805.15478515625,1,tarmac,1.6,0,3677.49072265625,0,0.07747873663902283,0.9997185909250167,-0.054931640625,5.450906785128964,3677.49072265625,1,tarmac,1.6,0,3679.805908203125,0,0.07735729217529297,0.9997185909250167,-0.054931640625,4.697865168042824,3679.805908203125,-1,1000.0000000000009,1,-1.874120776741754e-224,0,1,-1e-323,0.057284198878166444,0.022364615675278685,0.000010160358780824167,0.9996404217375213,0.9997185909250167,-1.0983928810695673e-14,3.093400395035267e-9,0.00015005284126074346,84.33,0.08559043993604634,0.0030798908454518423,0.000020320717561648333,0.0011642913527995652,tarmac,1.6,4,0,16965.541259765625,100,1,9.666666666684705,0,4803.08984375,-0.05401611328125,0,4805.15478515625,-0.05401611328125,0,3677.49072265625,-0.054931640625,0,3679.805908203125,-0.054931640625,0,0,0,0,0,92
2026-04-28T08:47:12.223Z,1,0.03,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,0.0008499512914568186,0.493837833404541,0.09446348249912262,-0.00019100926032769317,-0.04564630495443216,0.9989576459287298,-0.9999999772344085,-0.00008629584750545888,-0.00019515175978211414,-0.00009511385341688631,0.9989576604626613,0.04564628743196101,-0.0000010489686701475875,-0.1393725723028183,0.01584646664559841,0.0005769465351477265,-2.4998705328016513e-9,0.00005872555266250856,0,0,0,0,-1.8187321371194961e-224,17,0.017,0.14027054008791265,0.015846466680317042,-0.0001912085650260981,-0.010955443782748181,0.04566217116254486,2.616249691017796,-0.00008638589072016318,-0.004949546947743693,-2.4998705328016513e-9,-0.00004536424822014429,0.9997393764909182,0.022829097896201172,0.00009656542224665369,0.0015152172791020398,2.141809983692593,-3.882556119803559,-0.00014264135953831217,-0.31964329732131885,0.9475379370405164,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,4803.32177734375,0,-0.030540645122528076,0.9996290522576664,-0.0531005859375,5.381052048800839,4803.32177734375,1,tarmac,1.6,0,4805.412109375,0,-0.030662178993225098,0.9996290522576664,-0.0531005859375,4.774387995191262,4805.412109375,1,tarmac,1.6,0,3677.705322265625,0,0.07744422554969788,0.9997096930712173,-0.05401611328125,5.450006516574277,3677.705322265625,1,tarmac,1.6,0,3680.05029296875,0,0.07732129096984863,0.9997096930712173,-0.05401611328125,4.696964899488137,3680.05029296875,-1,1000.0000000000009,1,-1.8187321371194961e-224,0,1,-1e-323,0.05726511267909245,0.022279411712464572,0.000010041643105647522,0.9996290522576664,0.9997096930712173,-1.0857996111998122e-14,3.021534882968237e-9,0.00014891168612642995,84.33,0.08559043993604634,0.003174617965607286,0.000020083286211295045,0.001150687538505782,tarmac,1.6,4,0,16966.489501953125,100,1,10.000000000018039,0,4803.32177734375,-0.0531005859375,0,4805.412109375,-0.0531005859375,0,3677.705322265625,-0.05401611328125,0,3680.05029296875,-0.05401611328125,0,0,0,0,0,92
2026-04-28T08:47:12.240Z,2,0.046,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,0.0008494161302223802,0.493835985660553,0.09472684562206268,-0.00019096464995839682,-0.045644876397960193,0.9989577112126007,-0.9999999771494759,-0.00008727465628756474,-0.00019515169091295542,-0.00009609136570246691,0.9989577256529674,0.04564485868857667,-0.0000010684325388865545,-0.1375589370727539,0.015841186046600342,-0.00008351256838068366,2.4837039092062696e-9,0.00005784360837424174,0,0,0,0,-1.764980479188748e-224,17,0.017,0.13846806254544916,0.015841186082631357,-0.00019116389561717336,-0.010952884414143448,0.04566074111553035,2.6161677553593594,-0.00008736571510918414,-0.0050056867498985795,2.4837039092062696e-9,-0.00004585345523837117,0.9997393927938226,0.022828383012752723,0.00009655424795064107,0.0015136961719581239,2.1418150584743807,-3.882294086573894,-0.000142400030171268,-0.31964486931089875,0.9475374067789883,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,4802.84033203125,0,-0.030581623315811157,0.9996178940448643,-0.0531005859375,5.380167039035214,4802.84033203125,1,tarmac,1.6,0,4804.95458984375,0,-0.0307045578956604,0.9996178940448643,-0.0531005859375,4.773502985425637,4804.95458984375,1,tarmac,1.6,0,3677.609130859375,0,0.07742545008659363,0.9997009605568503,-0.0531005859375,5.449121506808652,3677.609130859375,1,tarmac,1.6,0,3679.979736328125,0,0.07730120420455933,0.9997009605568503,-0.0531005859375,4.696079889722512,3679.979736328125,-1,1000.0000000000009,1,-1.764980479188748e-224,0,1,-1e-323,0.05724603255245255,0.022191792154555946,0.000009983777039937639,0.9996178940448643,0.9997009605568503,-1.0860284908255323e-14,2.986811370943851e-9,0.00014774272161204445,84.33,0.08559043993604634,0.003130808186652973,0.000019967554079875277,0.0011440565758240348,tarmac,1.6,4,0,16965.3837890625,100,1,10.333333333351375,0,4802.84033203125,-0.0531005859375,0,4804.95458984375,-0.0531005859375,0,3677.609130859375,-0.0531005859375,0,3679.979736328125,-0.0531005859375,0,0,0,0,0,92
2026-04-28T08:47:12.257Z,3,0.063,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,0.0008489020983688533,0.4938625395298004,0.09498454630374908,-0.00019092178559228454,-0.045632779622645524,0.998958263879319,-0.9999999770672627,-0.00008821418755286823,-0.00019515053515555792,-0.00009702755301133279,0.99895827822896,0.04563276173415077,-0.0000011444752772149513,-0.1358005553483963,0.01583590731024742,-0.0007150575402192771,7.109070221389402e-9,0.00005539812264032662,0,0,0,0,-1.7128174228290262e-224,17,0.017,0.1367207621196628,0.01583590735160355,-0.0001911208807926104,-0.010950419846239496,0.04564863172229825,2.615473938234696,-0.00008830617779149345,-0.005059571292384456,7.109070221389402e-9,-0.00004632250071765302,0.9997395309748862,0.022822329849205722,0.00009654322670710235,0.001512228206331955,2.1418352567968633,-3.882036820793748,-0.00014216681656832654,-0.31964334014489115,0.9475379226656915,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,4801.67578125,0,-0.030581235885620117,0.9996231201538176,-0.05218505859375,5.379297288058652,4801.67578125,1,tarmac,1.6,0,4803.814453125,0,-0.03070560097694397,0.9996231201538176,-0.05218505859375,4.772633234449074,4803.814453125,1,tarmac,1.6,0,3677.211181640625,0,0.07742255926132202,0.9997050505551616,-0.05218505859375,5.448251755832089,3677.211181640625,1,tarmac,1.6,0,3679.609619140625,0,0.07729679346084595,0.9997050505551616,-0.05218505859375,4.695210138745949,3679.609619140625,-1,1000.0000000000009,1,-1.7128174228290262e-224,0,1,-1e-323,0.05722695855497392,0.022103535840158346,0.000009982407223718883,0.9996231201538176,0.9997050505551616,-1.0980110059892977e-14,2.9859918207414282e-9,0.00014656991888568557,84.33,0.08559043993604634,0.003224009131016673,0.000019964814447437766,0.001143899606448011,tarmac,1.6,4,0,16962.31103515625,100,1,10.666666666684709,0,4801.67578125,-0.05218505859375,0,4803.814453125,-0.05218505859375,0,3677.211181640625,-0.05218505859375,0,3679.609619140625,-0.05218505859375,0,0,0,0,0,92
2026-04-28T08:47:12.274Z,4,0.08,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,0.0008484198478981853,0.4939160943031311,0.09523676335811615,-0.0001908818434642062,-0.04561064064670258,0.9989592749576528,-0.9999999769898927,-0.00008909149618468167,-0.00019514845517342545,-0.0000978996224952163,0.9989592892217894,0.04561062259124779,-0.0000012703567335847765,-0.13413022458553314,0.01583063043653965,-0.0013100910000503063,1.1229440488591536e-8,0.00005160217551747337,0,0,0,0,-1.662196017768495e-224,16,0.016,0.13506119357164612,0.015830630487510655,-0.00019108070361441821,-0.010948117863496339,0.045626469670954864,2.6142041462273675,-0.00008918431102220322,-0.005109884620354313,1.1229440488591536e-8,-0.00004675994736626126,0.9997397837899288,0.022811251666943342,0.00009653269403119664,0.001510849417506692,2.1418694225209665,-3.881784133907962,-0.00014194790810331036,-0.31963876745946324,0.947539465240254,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,4799.87744140625,0,-0.03054100275039673,0.9996120745508467,-0.05126953125,5.378442795871152,4799.87744140625,1,tarmac,1.6,0,4802.0361328125,0,-0.030666649341583252,0.9996120745508467,-0.05126953125,4.771778742261574,4802.0361328125,1,tarmac,1.6,0,3676.52783203125,0,0.07743528485298157,0.9996964061702278,-0.05126953125,5.447397263644589,3676.52783203125,1,tarmac,1.6,0,3678.949462890625,0,0.07730817794799805,0.9996964061702278,-0.05126953125,4.694355646558449,3678.949462890625,-1,1000.0000000000009,1,-1.662196017768495e-224,0,1,-1e-323,0.05720789073840579,0.022016367506950088,0.0000100336251239875,0.9996120745508467,0.9996964061702278,-1.1209520869485031e-14,3.016711580108867e-9,0.00014541616166241622,84.33,0.08559043993604634,0.003317754065975044,0.000020067250247975,0.001149768745487487,tarmac,1.6,4,0,16957.390869140625,100,1,10.000000000018042,0,4799.87744140625,-0.05126953125,0,4802.0361328125,-0.05126953125,0,3676.52783203125,-0.05126953125,0,3678.949462890625,-0.05126953125,0,0,0,0,0,92
2026-04-28T08:47:12.290Z,5,0.097,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,0.0008479800308123231,0.4939947724342346,0.09548404812812805,-0.0001908457298907975,-0.045579182919591545,0.9989607107700933,-0.9999999769194642,-0.00008988511134974968,-0.0001951454279594777,-0.00009868626387848197,0.9989607249562164,0.04557916471340992,-0.0000014415591067518108,-0.132578045129776,0.015825355425477028,-0.0018615220906212926,1.493047108169776e-8,0.00004655102748074569,0,0,0,0,-1.6130707013255527e-224,17,0.017,0.13351921182681423,0.015825355491134088,-0.00019104427782935704,-0.010946030819746882,0.04559497919409996,2.612399874808727,-0.0000899786236452036,-0.005155395381266201,1.493047108169776e-8,-0.00004715509739779199,0.9997401428178443,0.0227955104853709,0.00009652287162400262,0.001509589691094129,2.141917240174852,-3.8815356210473233,-0.00014174799936016717,-0.3196315145799611,0.9475419118935189,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,4797.49609375,0,-0.030462950468063354,0.99960093387531,-0.05035400390625,5.377603562472714,4797.49609375,1,tarmac,1.6,0,4799.67333984375,0,-0.03058984875679016,0.99960093387531,-0.05035400390625,4.770939508863137,4799.67333984375,1,tarmac,1.6,0,3675.58349609375,0,0.07746285200119019,0.9996876873806774,-0.05035400390625,5.446558030246152,3675.58349609375,1,tarmac,1.6,0,3678.026123046875,0,0.07733449339866638,0.9996876873806774,-0.05035400390625,4.693516413160012,3678.026123046875,-1,1000.0000000000009,1,-1.6130707013255527e-224,0,1,-1e-323,0.057188829150052016,0.0219319208189285,0.000010130896022154132,0.99960093387531,0.9996876873806774,-1.1535969167835461e-14,3.0754860723621182e-9,0.00014430277603284106,84.33,0.08559043993604634,0.0034128598235267493,0.000020261792044308264,0.0011609151693517444,tarmac,1.6,4,0,16950.779052734375,100,1,10.333333333351378,0,4797.49609375,-0.05035400390625,0,4799.67333984375,-0.05035400390625,0,3675.58349609375,-0.05035400390625,0,3678.026123046875,-0.05035400390625,0,0,0,0,0,92
2026-04-28T08:47:12.307Z,6,0.114,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,0.0008475910290144384,0.49409618973731995,0.09572666883468628,-0.00019081415640244433,-0.04553924078643568,0.9989625323997656,-0.9999999768577609,-0.00009057757382170121,-0.0001951414388509661,-0.000099370195494799,0.9989625465172849,0.04553922244907233,-0.0000016497241404067609,-0.13117070496082306,0.015820082277059555,-0.0023633535020053387,1.7891935044644924e-8,0.0000404723068641033,0,0,0,0,-1.5653972573993424e-224,16,0.016,0.13212126568381719,0.01582008236307648,-0.00019101232317832417,-0.010944199953106885,0.04555499554351848,2.6101089803808826,-0.00009067164118340723,-0.005195102361333815,1.7891935044644924e-8,-0.00004749926371758837,0.9997405983272374,0.022775523817853395,0.00009651393468945592,0.0015084793348557096,2.1419765444032315,-3.881290999989071,-0.00014157241928622476,-0.3196216324139615,0.9475452453842428,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,4794.5966796875,0,-0.030349761247634888,0.9995896051164582,-0.05035400390625,5.376764329074277,4794.5966796875,1,tarmac,1.6,0,4796.7900390625,0,-0.030477821826934814,0.9995896051164582,-0.05035400390625,4.770100275464699,4796.7900390625,1,tarmac,1.6,0,3674.40771484375,0,0.0775042474269867,0.999678821395489,-0.0494384765625,5.445734055636777,3674.40771484375,1,tarmac,1.6,0,3676.86767578125,0,0.07737478613853455,0.999678821395489,-0.0494384765625,4.692692438550637,3676.86767578125,-1,1000.0000000000009,1,-1.5653972573993424e-224,0,1,-1e-323,0.057169773833319455,0.021851707549231207,0.000010270105665386351,0.9995896051164582,0.999678821395489,-1.1952536150038203e-14,3.160587894633364e-9,0.00014324916848765956,84.33,0.08559043993604634,0.0033727531886781036,0.000020540211330772702,0.001176867419394561,tarmac,1.6,4,0,16942.662109375,100,1,9.666666666684712,0,4794.5966796875,-0.05035400390625,0,4796.7900390625,-0.05035400390625,0,3674.40771484375,-0.0494384765625,0,3676.86767578125,-0.0494384765625,0,0,0,0,0,92
2026-04-28T08:47:12.324Z,7,0.129,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,0.0008472598274238408,0.4942176342010498,0.09596532583236694,-0.00019078792598579874,-0.04549175345958678,0.998964696056442,-0.9999999768062877,-0.00009115419856125967,-0.00019513671169562493,-0.00009993693743938916,0.9989647101164707,0.04549173501334366,-0.0000018883587244999944,-0.12993116676807404,0.01581481099128723,-0.002810432342812419,2.0313267512506172e-8,0.00003353486317791976,0,0,0,0,-1.5191327766722761e-224,17,0.017,0.13089009262724624,0.015814811104026442,-0.00019098565186464098,-0.010942671799398769,0.04550745895129688,2.607385334274151,-0.00009124866713023214,-0.0052281635127564225,2.0313267512506172e-8,-0.00004778515369524862,0.9997411393679867,0.022751761653633688,0.00009650614106102416,0.001507537195395434,2.142046253999115,-3.8810496653675086,-0.0001414240629654508,-0.31960950427952306,0.9475493363268386,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,4791.25,0,-0.030204832553863525,0.99959427765388,-0.0494384765625,5.375940354464902,4791.25,1,tarmac,1.6,0,4793.45654296875,0,-0.030333906412124634,0.99959427765388,-0.0494384765625,4.769276300855324,4793.45654296875,1,tarmac,1.6,0,3673.034912109375,0,0.07755813002586365,0.9996824781639061,-0.04852294921875,5.444925339816464,3673.034912109375,1,tarmac,1.6,0,3675.509765625,0,0.0774276852607727,0.9996824781639061,-0.04852294921875,4.691883722730324,3675.509765625,-1,1000.0000000000009,1,-1.5191327766722761e-224,0,1,-1e-323,0.057150724828002965,0.02177708408639222,0.000010443694695775919,0.99959427765388,0.9996824781639061,-1.2444307966658216e-14,3.2683336353860164e-9,0.00014227245011296682,84.33,0.08559043993604634,0.003472770558821109,0.000020887389391551838,0.0011967592570082067,tarmac,1.6,4,0,16933.251220703125,100,1,10.000000000018046,0,4791.25,-0.0494384765625,0,4793.45654296875,-0.0494384765625,0,3673.034912109375,-0.04852294921875,0,3675.509765625,-0.04852294921875,0,0,0,0,0,92
2026-04-28T08:47:12.340Z,8,0.147,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,0.0008469911408610642,0.49435609579086304,0.09620031714439392,-0.0001907675468293784,-0.04543770139106758,0.9989671560667245,-0.9999999767660486,-0.00009160580577907267,-0.0001951314399697362,-0.00010037751537967483,0.998967170081516,0.04543768285995538,-0.000002145458665836486,-0.1288783848285675,0.015809541568160057,-0.003198383841663599,2.1720879317399522e-8,0.000026069099476444535,0,0,0,0,-1.4742356179887538e-224,17,0.017,0.12984444418310206,0.015809541713736476,-0.00019096478132629903,-0.010941476005635609,0.04545335093208402,2.6042851731354406,-0.00009170051655934499,-0.005254052578019985,2.1720879317399522e-8,-0.00004800822819767349,0.9997417545189219,0.02272471461761453,0.00009649966730278514,0.0015067805297680071,2.1421241648512632,-3.8808113773292487,-0.00014130596105087524,-0.3195953167142682,0.9475541217085872,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,4787.53173828125,0,-0.030031800270080566,0.9995823223541638,-0.0494384765625,5.375116379855527,4787.53173828125,1,tarmac,1.6,0,4789.7470703125,0,-0.030161648988723755,0.9995823223541638,-0.0494384765625,4.768452326245949,4789.7470703125,1,tarmac,1.6,0,3671.502685546875,0,0.07762289047241211,0.9996731218423891,-0.04852294921875,5.444116623996152,3671.502685546875,1,tarmac,1.6,0,3673.9892578125,0,0.07749158143997192,0.9996731218423891,-0.04852294921875,4.691075006910012,3673.9892578125,-1,1000.0000000000009,1,-1.4742356179887538e-224,0,1,-1e-323,0.057131682170628875,0.021709234820707052,0.000010646079842647492,0.9995823223541638,0.9996731218423891,-1.3000041467171764e-14,3.3962330689545618e-9,0.00014138729695188467,84.33,0.08559043993604634,0.003438845925978526,0.000021292159685294985,0.0012199508865016443,tarmac,1.6,4,0,16922.770751953125,100,1,10.333333333351382,0,4787.53173828125,-0.0494384765625,0,4789.7470703125,-0.0494384765625,0,3671.502685546875,-0.04852294921875,0,3673.9892578125,-0.04852294921875,0,0,0,0,0,92
2026-04-28T08:47:12.357Z,9,0.163,WebPort,true,false,webtest,webtest,car_1,car_1,0,0,0,0.0008467873558402061,0.4945083260536194,0.09643235802650452,-0.0001907532689942952,-0.04537815705912865,0.9989698626460698,-0.9999999767377497,-0.0000919263512935637,-0.0001951257192559349,-0.00010068610005995696,0.9989698766286516,0.04537813846827859,-0.000002413755055385991,-0.12802709639072418,0.015804274007678032,-0.0035239998251199722,2.251326236546447e-8,0.00001825845356506761,0,0,0,0,-1.4306653708753109e-224,16,0.016,0.12899888562687573,0.015804274192002015,-0.00019094997137413124,-0.010940627457881606,0.04539374511840925,2.6008700115774332,-0.00009202114416535254,-0.005272423186639601,2.251326236546447e-8,-0.00004816551876695274,0.9997424313307491,0.022694919382035793,0.0000964946010485395,0.0015062210847055985,2.142208202505386,-3.8805755211385646,-0.0001412203595822039,-0.3195793415494701,0.9475595097468112,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,4783.52294921875,0,-0.0298348069190979,0.9995862254279846,-0.0494384765625,5.374292405246152,4783.52294921875,1,tarmac,1.6,0,4785.74365234375,0,-0.02996528148651123,0.9995862254279846,-0.0494384765625,4.767628351636574,4785.74365234375,1,tarmac,1.6,0,3669.85009765625,0,0.0776967704296112,0.999676176421901,-0.047607421875,5.443323166964902,3669.85009765625,1,tarmac,1.6,0,3672.34326171875,0,0.07756483554840088,0.999676176421901,-0.047607421875,4.690281549878762,3672.34326171875,-1,1000.0000000000009,1,-1.4306653708753109e-224,0,1,-1e-323,0.057112645894446104,0.021649150753950946,0.000010866528294258871,0.9995862254279846,0.999676176421901,-1.3594928519811818e-14,3.5383409511243613e-9,0.0001406057539346196,84.33,0.08559043993604634,0.003408803892600473,0.000021733056588517743,0.0012452124182450051,tarmac,1.6,4,0,16911.4599609375,100,1,9.666666666684716,0,4783.52294921875,-0.0494384765625,0,4785.74365234375,-0.0494384765625,0,3669.85009765625,-0.047607421875,0,3672.34326171875,-0.047607421875,0,0,0,0,0,92
