timestamp_utc,sample_index,race_time_seconds,game_state,is_racing,is_paused,level_id,level_name,car_id,car_name,player_steer,player_throttle,player_brake,position_x,position_y,position_z,forward_x,forward_y,forward_z,right_x,right_y,right_z,up_x,up_y,up_z,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,vehicle_applied_throttle,vehicle_applied_brake,vehicle_applied_handbrake,vehicle_control_candidate_1dfc,vehicle_applied_steer,vehicle_frame_delta_ms,vehicle_frame_delta_seconds,speed_magnitude,planar_speed_magnitude,yaw_radians,yaw_degrees,pitch_radians,pitch_degrees,roll_radians,roll_degrees,yaw_rate,quat_x,quat_y,quat_z,quat_w,camera_position_x,camera_position_y,camera_position_z,camera_forward_x,camera_forward_y,camera_forward_z,camera_fov,camera_mode_index,camera_family,wheel_0_contact_flag,wheel_0_contact_ptr,wheel_0_contact_surface_44_candidate,wheel_0_contact_surface_48_candidate,wheel_0_contact_surface_4c_candidate,wheel_0_contact_surface_50_candidate,wheel_0_suspension_length_candidate,wheel_0_tire_force_multiplier_candidate,wheel_0_load_or_spin_candidate,wheel_0_rotation_or_phase_candidate,wheel_0_vertical_load_candidate,wheel_1_contact_flag,wheel_1_contact_ptr,wheel_1_contact_surface_44_candidate,wheel_1_contact_surface_48_candidate,wheel_1_contact_surface_4c_candidate,wheel_1_contact_surface_50_candidate,wheel_1_suspension_length_candidate,wheel_1_tire_force_multiplier_candidate,wheel_1_load_or_spin_candidate,wheel_1_rotation_or_phase_candidate,wheel_1_vertical_load_candidate,wheel_2_contact_flag,wheel_2_contact_ptr,wheel_2_contact_surface_44_candidate,wheel_2_contact_surface_48_candidate,wheel_2_contact_surface_4c_candidate,wheel_2_contact_surface_50_candidate,wheel_2_suspension_length_candidate,wheel_2_tire_force_multiplier_candidate,wheel_2_load_or_spin_candidate,wheel_2_rotation_or_phase_candidate,wheel_2_vertical_load_candidate,wheel_3_contact_flag,wheel_3_contact_ptr,wheel_3_contact_surface_44_candidate,wheel_3_contact_surface_48_candidate,wheel_3_contact_surface_4c_candidate,wheel_3_contact_surface_50_candidate,wheel_3_suspension_length_candidate,wheel_3_tire_force_multiplier_candidate,wheel_3_load_or_spin_candidate,wheel_3_rotation_or_phase_candidate,wheel_3_vertical_load_candidate,web_telemetry_schema_version,web_capture_has_simulation,web_gear,web_engine_rpm,web_clutch,web_steer_state,web_steer_raw,web_steer_limit,web_steer_target,web_steer_speed_kph,web_speed_forward,web_speed_right,web_front_grip_scale,web_rear_grip_scale,web_inertia_roll_torque,web_inertia_pitch_torque,web_longitudinal_accel_filtered,web_lateral_accel_filtered,web_load_transfer_long,web_load_transfer_lat,web_aero_drag_force,web_rolling_resistance_drag,web_brake_distance_scale,web_slip_long_avg,web_slip_lat_avg,web_slip_angle_deg,web_surface_type,web_surface_grip,web_wheel_contacts,web_forward_impulse,web_suspension_force,web_front_suspension_force_sum,web_rear_suspension_force_sum,web_suspension_force_front_rear_ratio,web_suspension_force_front_minus_rear,web_camera_fov_degrees,web_sim_steps,web_sim_backlog_ms,web_wheel_0_forward_impulse,web_wheel_0_suspension_force,web_wheel_0_angular_velocity,web_wheel_0_longitudinal_speed,web_wheel_0_ground_relative_longitudinal_velocity,web_wheel_0_slip_ratio,web_wheel_1_forward_impulse,web_wheel_1_suspension_force,web_wheel_1_angular_velocity,web_wheel_1_longitudinal_speed,web_wheel_1_ground_relative_longitudinal_velocity,web_wheel_1_slip_ratio,web_wheel_2_forward_impulse,web_wheel_2_suspension_force,web_wheel_2_angular_velocity,web_wheel_2_longitudinal_speed,web_wheel_2_ground_relative_longitudinal_velocity,web_wheel_2_slip_ratio,web_wheel_3_forward_impulse,web_wheel_3_suspension_force,web_wheel_3_angular_velocity,web_wheel_3_longitudinal_speed,web_wheel_3_ground_relative_longitudinal_velocity,web_wheel_3_slip_ratio,web_input_throttle_raw,web_input_brake_raw,web_input_steer_raw,web_input_handbrake_raw,web_input_reset_raw,web_input_version_raw,web_input_snapshot_present,web_input_sanity_mask,web_input_steer_missing_under_turn_test
2026-04-28T16:48:01.566Z,397,6.628700000000186,WebPort,true,false,webtest,webtest,car_16,car_16,1,0,0,-2.488825559616089,0.6387850642204285,3.7293612957000732,-0.6704610512683007,-0.04754192476636344,0.7404199782027187,-0.7412212457988542,-0.0011403775327818544,-0.6712598336825146,-0.03275734281958098,0.9988685924227432,0.03447450598352765,0.21990539133548737,-0.1276044249534607,0.30795571208000183,-0.0076203783974051476,0.12219623476266861,-0.0290856771171093,0,0,1,1,0.8668161965619854,16.799999999813735,0.016799999999813735,0.3993469556774137,0.3784112864874868,-0.7358534647932913,-42.1612978727341,0.04755985232387566,2.7249788124235357,-0.00114166872997475,-0.065412799829614,0.12219623476266861,0.009084877284825437,-0.9328062253791402,-0.021981100822026416,-0.3595926057433504,1.0136706679847163,2.3540410046688396,-0.22080687924228082,-0.6384431316566488,-0.2713179162001366,0.7202617274222383,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,8239.82421875,0.5111508369445801,0.04331403970718384,0.1,0.087890625,0.13157547195357466,8239.82421875,1,tarmac,1.6,0,8281.51171875,0.5748942494392395,0.04098016023635864,0.1,-0.53466796875,5.5301020610556435,8281.51171875,1,tarmac,1.6,-1.7386349439620972,5484.31005859375,0,0.16466954350471497,0.06,0.09521484375,0.17997142359521234,5484.31005859375,1,tarmac,1.6,69.97055053710938,5533.12255859375,0,0.16233548521995544,0.06,-0.50537109375,3.940802700197281,5533.12255859375,2026-04-28-slip-live-v5-loadtransfer,1,0,1059.4399129958904,0.25,0.8668161965619854,1,1,0.8668161965619854,4.664664670600683,0.11900797678425548,-0.39437635203916876,0.1,0.06,0,0,-9.452334755705156,-0.35878901128957286,-0.9949826058637006,-0.042210471916420335,0.05090868167580128,137.16,0.08559043993604634,0.05081634521484375,0.7887527040783375,38.264706158524284,tarmac,1.6,4,71.70918548107147,27538.7685546875,16521.3359375,11017.4326171875,1.499563147926701,5503.9033203125,100,1,3.399999999444174,0,8239.82421875,0.087890625,-0.028564453125,-0.14757242990925548,-0.07378621495462774,0,8281.51171875,-0.53466796875,0.17376708984375,0.05475911305949452,0.02737955652974726,-1.7386349439620972,5484.31005859375,0.09521484375,-0.032373046875000006,-0.1513810236592555,-0.07569051182962774,69.97055053710938,5533.12255859375,-0.50537109375,0.17182617187500002,0.052818195090744535,0.026409097545372268,0,0,1,1,0,60,1,SH,0
2026-04-28T16:48:01.582Z,398,6.6452000000001865,WebPort,true,false,webtest,webtest,car_16,car_16,1,0,0,-2.4851744174957275,0.6388640999794006,3.733613967895508,-0.6692142365221747,-0.04702604680685415,0.741579973136925,-0.7423731512626298,-0.0008838531626060055,-0.6699860618609761,-0.032162243709596486,0.9988932724397069,0.03431938744001716,0.21661968529224396,-0.126441091299057,0.27602800726890564,-0.012479012832045555,0.10148478299379349,-0.03172420710325241,0,0,1,1,0.864158317706739,16.600000000558794,0.016600000000558793,0.37296500964815765,0.3508782536050843,-0.7341487545362421,-42.06362516971252,0.04704339669616198,2.695388084649762,-0.0008848322001236354,-0.05069715064435935,0.10148478299379349,0.008853663572052263,-0.9331192845557397,-0.02179395378309003,-0.3587966513361545,1.0176244040942866,2.3532665234344785,-0.21620760224877333,-0.6385528404357305,-0.27117139634341414,0.7202196496740586,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,8220.5126953125,0.5097520351409912,0.04375782608985901,0.1,0.1025390625,0.13328445632857466,8220.5126953125,1,tarmac,1.6,0,8251.431640625,0.5731315016746521,0.041881054639816284,0.1,-0.41748046875,5.5231440532431435,8251.431640625,1,tarmac,1.6,-5.12280797958374,5512.96630859375,0,0.1639007031917572,0.06,0.10986328125,0.18180247828271234,5512.96630859375,1,tarmac,1.6,54.45918273925781,5549.6162109375,0,0.16202375292778015,0.06,-0.38818359375,3.934332973634781,5549.6162109375,2026-04-28-slip-live-v5-loadtransfer,1,0,1052.0202259402374,0.25,0.864158317706739,1,1,0.864158317706739,4.228454452944035,0.08664512174231223,-0.3695713309766764,0.1,0.06,0,0,-8.681213467663737,-0.14992084964416416,-0.9138119439646039,-0.01763774701696049,0.043227103740483656,137.16,0.08559043993604634,0.04229278564453125,0.7391426619533528,36.46968744245606,tarmac,1.6,4,59.58199071884155,27534.52685546875,16471.9443359375,11062.58251953125,1.488978211629689,5409.36181640625,100,1,3.3333333333363004,0,8220.5126953125,0.1025390625,-0.0333251953125,-0.11997031705481223,-0.059985158527406116,0,8251.431640625,-0.41748046875,0.13568115234375,0.04903603060143777,0.024518015300718884,-5.12280797958374,5512.96630859375,0.10986328125,-0.037353515625,-0.12399863736731223,-0.061999318683656116,54.45918273925781,5549.6162109375,-0.38818359375,0.131982421875,0.045337300132687774,0.022668650066343887,0,0,1,1,0,60,1,SH,0
2026-04-28T16:48:01.599Z,399,6.6620999999996275,WebPort,true,false,webtest,webtest,car_16,car_16,1,0,0,-2.4815781116485596,0.6389452219009399,3.7374327182769775,-0.6681828381052264,-0.046429354411946025,0.7425469748847778,-0.7433283465072682,-0.0006470630979334914,-0.668926416422702,-0.031538296409532686,0.9989213664539555,0.034079898787221403,0.20930784940719604,-0.12531618773937225,0.25013497471809387,-0.01686115935444832,0.08430726081132889,-0.034038200974464417,0,0,1,1,0.8639610518668552,16.799999999813735,0.016799999999813735,0.3494015287748703,0.3261553025794413,-0.7327336683822567,-41.98254670544176,0.04644605179121874,2.6611627426828712,-0.0006477617049367476,-0.03711401182307418,0.08430726081132889,0.008620642718996147,-0.9333805075967143,-0.021563888613461656,-0.35813616302389406,1.0214966602843187,2.352359174583375,-0.21205112302276197,-0.6386602124619641,-0.27100163731765053,0.7201883403590976,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,8197.62109375,0.5096481442451477,0.04434618353843689,0.1,0.10986328125,0.13511551101607466,8197.62109375,1,tarmac,1.6,0,8218.5166015625,0.5730006694793701,0.042891621589660645,0.1,-0.322265625,5.5177729594931435,8218.5166015625,1,tarmac,1.6,-6.145091533660889,5544.7861328125,0,0.1630193293094635,0.06,0.1171875,0.18375560328271234,5544.7861328125,1,tarmac,1.6,43.33544158935547,5570.12255859375,0,0.16156461834907532,0.06,-0.29296875,3.929450161134781,5570.12255859375,2026-04-28-slip-live-v5-loadtransfer,1,0,1045.5267137934816,0.25,0.8639610518668552,1,1,0.8639610518668552,3.8367704524933908,0.06567788958473036,-0.34563580059092125,0.1,0.06,0,0,-7.919064022746106,0.029429293938454476,-0.8335856866048532,0.0034622698751122912,0.03713330754912933,137.16,0.08559043993604634,0.03498687744140625,0.6912716011818425,34.65500424326545,tarmac,1.6,4,49.48053312301636,27531.04638671875,16416.1376953125,11114.90869140625,1.4769475981395168,5301.22900390625,100,1,3.4666666664833685,0,8197.62109375,0.10986328125,-0.03570556640625,-0.10138345599098036,-0.05069172799549018,0,8218.5166015625,-0.322265625,0.104736328125,0.039058438540269635,0.019529219270134818,-6.145091533660889,5544.7861328125,0.1171875,-0.039843750000000004,-0.10552163958473038,-0.05276081979236519,43.33544158935547,5570.12255859375,-0.29296875,0.09960937500000001,0.03393148541526965,0.016965742707634825,0,0,1,1,0,60,1,SH,0
2026-04-28T16:48:01.616Z,400,6.678899999999441,WebPort,true,false,webtest,webtest,car_16,car_16,1,0,0,-2.478086233139038,0.6390303373336792,3.740884304046631,-0.6673295378702921,-0.04576415213086118,0.7433551844613487,-0.744121618569232,-0.00042961040825838904,-0.6680440346360437,-0.030891821955475664,0.9989521799438854,0.03376740324085767,0.1998845338821411,-0.12422624230384827,0.22838681936264038,-0.020683305338025093,0.07010102272033691,-0.03587469458580017,0,0,1,1,0.8655823288554757,16.700000000186265,0.016700000000186264,0.3279428691415603,0.303503486213691,-0.7315575214971722,-41.91515845283896,0.04578014162171182,2.6230089004352832,-0.0004300610083224263,-0.0246406807100156,0.07010102272033691,0.00838728126736362,-0.9335990819102259,-0.02129703127197552,-0.35758753365899976,1.0252068109982706,2.351341278392084,-0.20830064928272618,-0.6387591449489872,-0.2708121259829255,0.720171887235712,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,8171.6884765625,0.5105015635490417,0.04506596922874451,0.1,0.1025390625,0.13682449539107466,8171.6884765625,1,tarmac,1.6,0,8183.34423828125,0.5740759372711182,0.04400116205215454,0.1,-0.25634765625,5.5135004985556435,8183.34423828125,1,tarmac,1.6,-5.967862129211426,5578.9736328125,0,0.1620391309261322,0.06,0.1171875,0.18570872828271234,5578.9736328125,1,tarmac,1.6,35.134342193603516,5593.87744140625,0,0.16097429394721985,0.06,-0.22705078125,3.925665981447281,5593.87744140625,2026-04-28-slip-live-v5-loadtransfer,1,0,1039.8437652157595,0.25,0.8655823288554757,1,1,0.8655823288554757,3.4850674801931008,0.05169940562930467,-0.32282526239034115,0.1,0.06,0,0,-7.192112910465699,0.1808657841102633,-0.7570645168911262,0.02127832754238392,0.032066693573944795,137.16,0.08559043993604634,0.029209899902343753,0.6456505247806823,32.84833007544343,tarmac,1.6,4,41.10220432281494,27527.8837890625,16355.03271484375,11172.85107421875,1.463819092029503,5182.181640625,100,1,3.500000000002966,0,8171.6884765625,0.1025390625,-0.0333251953125,-0.08502460094180467,-0.042512300470902334,0,8183.34423828125,-0.25634765625,0.08331298828125,0.03161358265194533,0.015806791325972666,-5.967862129211426,5578.9736328125,0.1171875,-0.039843750000000004,-0.09154315562930468,-0.04577157781465234,35.134342193603516,5593.87744140625,-0.22705078125,0.07719726562500001,0.025497859995695343,0.012748929997847672,0,0,1,1,0,60,1,SH,0
2026-04-28T16:48:01.632Z,401,6.695399999999442,WebPort,true,false,webtest,webtest,car_16,car_16,1,0,0,-2.4747273921966553,0.6391215920448303,3.7440178394317627,-0.6666234898925092,-0.04504453322742283,0.7440323331346936,-0.7447813132361508,-0.00023181268784238507,-0.6673085805810628,-0.030231079665913648,0.9989849529843787,0.03339379482825854,0.18947993218898773,-0.12317312508821487,0.20961132645606995,-0.023893510922789574,0.05837308615446091,-0.037135858088731766,0,0,1,1,0.8685120619501886,16.5,0.0165,0.30823882238454897,0.28255893700432927,-0.7305787777445557,-41.85908056658924,0.04505977978699862,2.5817352075839164,-0.00023204822353841006,-0.013295383852259183,0.05837308615446091,0.008155778843313512,-0.9337824424558463,-0.02100016141056066,-0.35713138570193426,1.0287268543748067,2.3502383982192026,-0.20490913051153514,-0.6388491769815631,-0.27060686955296903,0.7201691823597577,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,8143.25634765625,0.5120430588722229,0.04590162634849548,0.1,0.09521484375,0.13841140945357466,8143.25634765625,1,tarmac,1.6,0,8146.521484375,0.5760189890861511,0.045194655656814575,0.1,-0.205078125,5.5100825298056435,8146.521484375,1,tarmac,1.6,-5.241621971130371,5614.6748046875,0,0.1609799563884735,0.06,0.10986328125,0.18753978297021234,5614.6748046875,1,tarmac,1.6,28.93102264404297,5620.095703125,0,0.1602729856967926,0.06,-0.17578125,3.922736293947281,5620.095703125,2026-04-28-slip-live-v5-loadtransfer,1,0,1034.870200247044,0.25,0.8685120619501886,1,1,0.8685120619501886,3.1690493329183442,0.042068781264306854,-0.30125748625737436,0.1,0.06,0,0,-6.51301491267254,0.30674604259614574,-0.6855805171234253,0.036087769717193616,0.027757756614952857,137.16,0.08559043993604634,0.02433929443359375,0.6025149725147487,31.06959288610374,tarmac,1.6,4,34.17264461517334,27524.54833984375,16289.77783203125,11234.7705078125,1.449943087017538,5055.00732421875,100,1,3.3333333333363004,0,8143.25634765625,0.09521484375,-0.03094482421875,-0.07301360548305685,-0.03650680274152843,0,8146.521484375,-0.205078125,0.066650390625,0.024581609360693146,0.012290804680346573,-5.241621971130371,5614.6748046875,0.10986328125,-0.037353515625,-0.07942229688930685,-0.03971114844465343,28.93102264404297,5620.095703125,-0.17578125,0.059765625,0.01769684373569315,0.008848421867846575,0,0,1,1,0,60,1,SH,0
2026-04-28T16:48:01.649Z,402,6.712,WebPort,true,false,webtest,webtest,car_16,car_16,1,0,0,-2.47151517868042,0.6392213702201843,3.7468745708465576,-0.6660385758033399,-0.04428562261861973,0.7446015036052102,-0.7453311326715423,-0.000054406389550175016,-0.6666944575369594,-0.029565490227871964,0.9990189090649015,0.03297121651318971,0.17875714600086212,-0.12216371297836304,0.19306792318820953,-0.026461798697710037,0.04870074242353439,-0.03776571899652481,0,0,1,1,0.8723512580382073,16.59999999962747,0.016599999999627472,0.29009190436694676,0.26311469022192946,-0.7297625317506466,-41.81231311609379,0.04430011102364703,2.538209393615948,-0.000054459819531657165,-0.003120317812208083,0.04870074242353439,0.00792877463367333,-0.9339367678464177,-0.020680425536184165,-0.35675140952354656,1.032069535671046,2.3490779368986336,-0.20181468550140425,-0.638934473291834,-0.2703901511265992,0.7201749127906508,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,8112.8798828125,0.5140620470046997,0.04683580994606018,0.1,0.087890625,0.13987625320357466,8112.8798828125,1,tarmac,1.6,0,8108.66650390625,0.578565239906311,0.04645434021949768,0.1,-0.1611328125,5.5073969829306435,8108.66650390625,1,tarmac,1.6,-4.32136869430542,5651.0419921875,0,0.15986457467079163,0.06,0.1025390625,0.18924876734521234,5651.0419921875,1,tarmac,1.6,24.130191802978516,5647.99267578125,0,0.15948304533958435,0.06,-0.13916015625,3.920416958009781,5647.99267578125,2026-04-28-slip-live-v5-loadtransfer,1,0,1030.5174688858976,0.25,0.8723512580382073,1,1,0.8723512580382073,2.8848142637560095,0.03519410653991026,-0.28096799636552827,0.1,0.06,0,0,-5.886663508265549,0.4097189334327296,-0.619648790343742,0.048202227462674066,0.02405449203504062,137.16,0.08559043993604634,0.020388793945312504,0.5619359927310565,29.333199554233293,tarmac,1.6,4,28.451560497283936,27520.5810546875,16221.54638671875,11299.03466796875,1.4356577232836236,4922.51171875,100,1,3.266666666297106,0,8112.8798828125,0.087890625,-0.028564453125,-0.06375855966491026,-0.03187927983245513,0,8108.66650390625,-0.1611328125,0.0523681640625,0.017174057522589742,0.008587028761294871,-4.32136869430542,5651.0419921875,0.1025390625,-0.03486328125,-0.07005738778991026,-0.03502869389495513,24.130191802978516,5647.99267578125,-0.13916015625,0.047314453125,0.012120346585089745,0.006060173292544872,0,0,1,1,0,60,1,SH,0
2026-04-28T16:48:01.666Z,403,6.728700000000186,WebPort,true,false,webtest,webtest,car_16,car_16,1,0,0,-2.468489646911621,0.6393318176269531,3.749459743499756,-0.665537330279235,-0.04350301298988631,0.7450956649086012,-0.7458046707921985,0.0001019088388254565,-0.6661646813207146,-0.02890423895087381,0.9990532906083591,0.032512574417914636,0.16667263209819794,-0.12121013551950455,0.17699973285198212,-0.02836734429001808,0.04201345890760422,-0.037749793380498886,0,0,1,1,0.876791970350609,16.799999999813735,0.016799999999813735,0.27166260079898913,0.24312275031393973,-0.7290588170679416,-41.7719932347934,0.04351674635221629,2.493325904123314,0.00010200540794970331,0.005844479363028216,0.04201345890760422,0.007708818133210628,-0.9340708787759576,-0.020345240691855927,-0.3564242398138628,1.0351700396467818,2.347887807401386,-0.19903679546046948,-0.6390098759242384,-0.2701663871620759,0.7201919894854988,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,8081.10107421875,0.5163958668708801,0.04785051941871643,0.1,0.087890625,0.14134109695357466,8081.10107421875,1,tarmac,1.6,0,8070.3876953125,0.5815104842185974,0.047760963439941406,0.1,-0.1318359375,5.5051997173056435,8070.3876953125,1,tarmac,1.6,-3.3924663066864014,5687.2294921875,0,0.15871796011924744,0.07970868669258813,0.1025390625,0.19095775172021234,5687.2294921875,1,tarmac,1.6,20.34051513671875,5676.787109375,0,0.1586284041404724,0.07970868669258813,-0.10986328125,3.918585903322281,5676.787109375,2026-04-28-slip-live-v5-loadtransfer,1,0,1026.708074533661,0.25,0.876791970350609,1,1,0.876791970350609,2.628877489231226,0.030109607057441284,-0.2619439339331483,0.1,0.07970868669258813,0,0,-5.313592576079384,0.492462055674588,-0.5593255343241457,0.05793671243230447,0.020856363888458122,137.16,0.08559043993604634,0.017953491210937502,0.5238878678662966,27.64949758778008,tarmac,1.6,4,23.73298144340515,27515.50537109375,16151.48876953125,11364.0166015625,1.421283454241918,4787.47216796875,100,1,3.399999999444174,0,8081.10107421875,0.087890625,-0.028564453125,-0.058674060182441284,-0.029337030091220642,0,8070.3876953125,-0.1318359375,0.0428466796875,0.012737072630058716,0.006368536315029358,-3.3924663066864014,5687.2294921875,0.1025390625,-0.03486328125,-0.06497288830744129,-0.032486444153720644,20.34051513671875,5676.787109375,-0.10986328125,0.037353515625,0.007243908567558716,0.003621954283779358,0,0,1,1,0,60,1,SH,0
2026-04-28T16:48:01.682Z,404,6.745299999999814,WebPort,true,false,webtest,webtest,car_16,car_16,1,0,0,-2.465771436691284,0.6394549012184143,3.751695156097412,-0.6650322143658475,-0.042712224951900545,0.7455922610216095,-0.746280011738273,0.00023667245705941316,-0.6656320966315188,-0.028254166694150165,0.9990873884830127,0.03203267454666972,0.14858238399028778,-0.12032866477966309,0.15673112869262695,-0.02960328198969364,0.04225124791264534,-0.03709980845451355,0,0,1,1,0.8815994779511275,16.5,0.0165,0.24722532050977028,0.21596613515433874,-0.7283506379834205,-41.731417562110906,0.04272522252026292,2.447974929168364,0.00023688863993340467,0.013572719282778303,0.04225124791264534,0.00749767964646175,-0.9342054995078566,-0.020002263832193827,-0.3560951824032202,1.0377546008080598,2.3466958707757373,-0.19679214564029657,-0.6390471704269705,-0.2699400305321125,0.7202437739304692,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,8048.48828125,0.5189206600189209,0.04892668128013611,0.1,0.09521484375,0.14292801101607466,8048.48828125,1,tarmac,1.6,0,8032.279296875,0.5846989154815674,0.04909434914588928,0.1,-0.1171875,5.5032465923056435,8032.279296875,1,tarmac,1.6,-2.856860876083374,5722.44775390625,0,0.15756547451019287,0.17334850837395988,0.10986328125,0.19278880640771234,5722.44775390625,1,tarmac,1.6,17.613224029541016,5705.72314453125,0,0.15773320198059082,0.17334850837395988,-0.09521484375,3.916998989259781,5705.72314453125,2026-04-28-slip-live-v5-loadtransfer,1,0,1023.3741942348705,0.25,0.8815994779511275,1,1,0.8815994779511275,2.397240661870979,0.026227881140755513,-0.2422285505254227,0.1,0.17334850837395988,0,0,-4.7919502936473695,0.5705390782274994,-0.5044158203839336,0.06712224449735286,0.017808771731634254,137.16,0.08559043993604634,0.017344665527343754,0.4844571010508454,25.848197549100842,tarmac,1.6,4,20.47008490562439,27508.9384765625,16080.767578125,11428.1708984375,1.407116477434164,4652.5966796875,100,1,3.2333333327775082,0,8048.48828125,0.09521484375,-0.03094482421875,-0.05717270535950551,-0.028586352679752756,0,8032.279296875,-0.1171875,0.0380859375,0.011858056359244487,0.0059290281796222435,-2.856860876083374,5722.44775390625,0.10986328125,-0.037353515625,-0.06358139676575551,-0.031790698382877756,17.613224029541016,5705.72314453125,-0.09521484375,0.032373046875000006,0.006145165734244493,0.0030725828671222463,0,0,1,1,0,60,1,SH,0
2026-04-28T16:48:01.699Z,405,6.761899999999441,WebPort,true,false,webtest,webtest,car_16,car_16,1,0,0,-2.4634835720062256,0.6395922303199768,3.7535085678100586,-0.6644576508801524,-0.0419282133936463,0.746148815658409,-0.7468152000391551,0.00034785460601817133,-0.6650315300703041,-0.027624032603989036,0.9991205652566613,0.03154376172722302,0.12445886433124542,-0.11953941732645035,0.1324514001607895,-0.030258873477578163,0.04759742692112923,-0.03576948493719101,0,0,1,1,0.886738669169891,16.700000000186265,0.016700000000186264,0.21753862785704103,0.1817508798195402,-0.7275506882131625,-41.68558381645266,0.041940507914560575,2.4030140941393467,0.00034816077664624897,0.019948143093826982,0.04759742692112923,0.007298122405673774,-0.9343560056202113,-0.01965845316959774,-0.3557234001155592,1.0396119769821284,2.3455282677843687,-0.19523384878247452,-0.6390298734342782,-0.26971529203300215,0.7203433085009693,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,8015.5986328125,0.5216176509857178,0.05004492402076721,0.10736558454667888,0.1171875,0.14488113601607466,8015.5986328125,1,tarmac,1.6,0,7994.8984375,0.5881073474884033,0.050434380769729614,0.10736558454667888,-0.1318359375,5.5010493266806435,7994.8984375,1,tarmac,1.6,-3.7835609912872314,5755.9609375,0,0.1564321219921112,0.3014165444278356,0.12451171875,0.19486400172021234,5755.9609375,1,tarmac,1.6,16.800325393676758,5734.0712890625,0,0.1568215787410736,0.3014165444278356,-0.10986328125,3.915167934572281,5734.0712890625,2026-04-28-slip-live-v5-loadtransfer,1,0,1020.4564711484861,0.25,0.886738669169891,1,1,0.886738669169891,2.1832870522563375,0.02318494977181766,-0.2152378115482183,0.10736558454667888,0.3014165444278356,0,0,-4.318698618799911,0.6891488269991463,-0.454599854610517,0.08107633258813485,0.014059457224796413,137.16,0.08559043993604634,0.020077514648437503,0.4304756230964366,23.290699570594377,tarmac,1.6,4,20.58388638496399,27500.529296875,16010.4970703125,11490.0322265625,1.3934249055716006,4520.46484375,100,1,3.266666666297106,0,8015.5986328125,0.1171875,-0.0380859375,-0.06127088727181766,-0.03063544363590883,0,7994.8984375,-0.1318359375,0.0428466796875,0.01966172991568234,0.00983086495784117,-3.7835609912872314,5755.9609375,0.12451171875,-0.042333984375,-0.06551893414681767,-0.032759467073408835,16.800325393676758,5734.0712890625,-0.10986328125,0.037353515625,0.014168565853182338,0.007084282926591169,0,0,1,1,0,60,1,SH,0
2026-04-28T16:48:01.716Z,406,6.778599999999628,WebPort,true,false,webtest,webtest,car_16,car_16,1,0,0,-2.4619901180267334,0.6397438645362854,3.7548439502716064,-0.6639150400503051,-0.041160647609419405,0.7466743739297438,-0.7473196455254757,0.0004395344292622749,-0.6644645620506506,-0.027021602592724063,0.9991524447739988,0.03105197409927749,0.0771869495511055,-0.11886511743068695,0.10352497547864914,-0.030323147773742676,0.04488047584891319,-0.034236062318086624,0,0,1,1,0.8926690657016599,16.799999999813735,0.016799999999813735,0.17551114457683537,0.1291326671638893,-0.7267953046408782,-41.642303525847254,0.04117227886654858,2.3589978119889063,0.00043990724659541793,0.0252048286071382,0.04488047584891319,0.007111322490742811,-0.9344980556733677,-0.019318558575454427,-0.3553724895510272,1.04055741688809,2.3444010803515503,-0.19426042325717763,-0.6389891318086398,-0.26949493149088644,0.7204619152537928,1.7453292519943295,0,web_chase,1,tarmac,1.6,0,7982.84765625,0.5247272849082947,0.05118763446807861,0.3255403019024177,0.0732421875,0.14610183914107466,7982.84765625,1,tarmac,1.6,0,7958.87255859375,0.5920405387878418,0.051759958267211914,0.3255403019024177,-0.15380859375,5.4984858501181435,7958.87255859375,1,tarmac,1.6,-5.681549549102783,5787.017578125,0,0.15534278750419617,0.472161975401892,0.087890625,0.19632884547021234,5787.017578125,1,tarmac,1.6,17.5076961517334,5761.2958984375,0,0.15591511130332947,0.472161975401892,-0.1318359375,3.912970668947281,5761.2958984375,2026-04-28-slip-live-v5-loadtransfer,1,0,1017.9029577509269,0.25,0.8926690657016599,1,1,0.8926690657016599,1.9813243533993377,0.021142884936135697,-0.18107371130798683,0.3255403019024177,0.472161975401892,0,0,-3.8878708011830243,0.8430158707121975,-0.4092495580192657,0.09917833773084676,0.00997041315308125,137.16,0.08559043993604634,0.01856231689453125,0.36214742261597366,19.90772369682481,tarmac,1.6,4,23.18924570083618,27490.03369140625,15941.72021484375,11548.3134765625,1.380437086956268,4393.40673828125,100,1,3.399999999444174,0,7982.84765625,0.0732421875,-0.0238037109375,-0.0449465958736357,-0.02247329793681785,0,7958.87255859375,-0.15380859375,0.04998779296875,0.028844908032614303,0.014422454016307151,-5.681549549102783,5787.017578125,0.087890625,-0.0298828125,-0.0510256974361357,-0.02551284871806785,17.5076961517334,5761.2958984375,-0.1318359375,0.044824218750000006,0.023681333813864308,0.011840666906932154,0,0,1,1,0,60,1,SH,0
